Date,Open,High,Low,Close,Adj Close,Volume
2020-02-28,182.699997,192.740005,181.820007,192.470001,192.075302,32568900
2020-03-02,194.029999,196.570007,188.850006,196.440002,196.037155,24949000
2020-03-03,196.220001,197.240005,183.970001,185.889999,185.508789,27984100
2020-03-04,189.169998,191.830002,186.389999,191.759995,191.366745,23062500
2020-03-05,186.779999,188.990005,183.889999,185.169998,184.790268,19333400
2020-03-06,178.330002,183.779999,176.259995,181.089996,180.718628,24559600
2020-03-09,169.600006,175.000000,165.190002,169.500000,169.152405,29949000
2020-03-10,174.669998,178.289993,169.500000,178.190002,177.824585,24517800
2020-03-11,174.009995,175.880005,167.660004,170.240005,169.890884,20373900
2020-03-12,159.539993,166.600006,154.339996,154.470001,154.153214,43266300
2020-03-13,163.529999,170.789993,157.600006,170.279999,169.930801,35028600
2020-03-16,152.320007,159.130005,143.100006,146.009995,145.710571,39120400
2020-03-17,150.740005,153.940002,140.000000,149.419998,149.113571,34255600
2020-03-18,139.750000,148.179993,137.100006,146.960007,146.658630,37553100
2020-03-19,146.619995,159.929993,144.800003,153.130005,152.815979,39862300
2020-03-20,156.020004,159.270004,148.000000,149.729996,149.422943,32568400
2020-03-23,149.660004,152.309998,142.250000,148.100006,147.796295,29830800
2020-03-24,155.210007,161.309998,152.570007,160.979996,160.649872,30440400
2020-03-25,158.919998,162.990005,153.059998,156.210007,155.889679,35184300
2020-03-26,158.250000,164.000000,157.020004,163.339996,163.005035,26556800
2020-03-27,158.199997,160.089996,154.750000,156.789993,156.468460,24879900
2020-03-30,159.179993,166.750000,158.059998,165.949997,165.609680,22515200
2020-03-31,165.479996,170.929993,164.199997,166.800003,166.457947,23676300
2020-04-01,161.619995,164.149994,158.039993,159.600006,159.272705,19507600
2020-04-02,159.100006,161.350006,155.919998,158.190002,157.865601,20886300
2020-04-03,157.149994,157.910004,150.830002,154.179993,153.863815,25983300
2020-04-06,160.149994,166.199997,158.509995,165.550003,165.210510,28453600
2020-04-07,171.789993,173.389999,166.009995,168.830002,168.483780,31411900
2020-04-08,171.250000,175.000000,167.740005,174.279999,173.922592,21664200
2020-04-09,175.899994,177.080002,171.570007,175.190002,174.830734,23534300
2020-04-13,173.669998,175.000000,169.449997,174.789993,174.431549,19355400
2020-04-14,178.979996,181.229996,176.619995,178.169998,177.804626,21011800
2020-04-15,175.190002,178.190002,172.820007,176.970001,176.607071,17423000
2020-04-16,177.949997,178.050003,172.509995,176.250000,175.888565,23593200
2020-04-17,179.199997,180.279999,176.660004,179.240005,178.872437,20974800
2020-04-20,177.410004,180.500000,176.770004,178.240005,177.874481,16110700
2020-04-21,175.250000,175.380005,168.339996,170.800003,170.449738,24850500
2020-04-22,178.449997,184.779999,178.139999,182.279999,181.906204,33242000
2020-04-23,184.080002,187.050003,183.149994,185.130005,184.750366,21426600
2020-04-24,183.229996,190.410004,180.830002,190.070007,189.680237,28792000
2020-04-27,192.660004,193.750000,187.410004,187.500000,187.115494,29197800
2020-04-28,188.660004,189.199997,182.559998,182.910004,182.534912,21731000
2020-04-29,190.929993,196.910004,190.000000,194.190002,193.791763,45954500
2020-04-30,206.919998,209.690002,201.570007,204.710007,204.290207,46230100
2020-05-01,201.600006,207.279999,199.050003,202.270004,201.855209,30415600
2020-05-04,200.199997,205.910004,198.759995,205.259995,204.839050,19250700
2020-05-05,207.020004,210.380005,206.500000,207.070007,206.645370,21071200
